Fecha;Equipo;Player_nickname;Goles
6/3/2025;Celeste;Lucas;2
6/3/2025;Celeste;Maranga;1
6/3/2025;Celeste;Morru;0
6/3/2025;Celeste;Chino;1
6/3/2025;Celeste;Ppon;5
6/3/2025;Celeste;Diego Leon;0
6/3/2025;Naranja;Bigote;3
6/3/2025;Naranja;Colo;0
6/3/2025;Naranja;Brunito;4
6/3/2025;Naranja;Pola;1
6/3/2025;Naranja;Charly;0
6/3/2025;Naranja;Pata;1
13/3/2025;Naranja;Cofla;0
13/3/2025;Naranja;Charly;0
13/3/2025;Naranja;Facu;0
13/3/2025;Naranja;Bradley;1
13/3/2025;Naranja;Chulo;1
13/3/2025;Naranja;Bigote;3
13/3/2025;Celeste;Chino;2
13/3/2025;Celeste;Maranga;0
13/3/2025;Celeste;Pata;0
13/3/2025;Celeste;Lucas;2
13/3/2025;Celeste;Colo;2
13/3/2025;Celeste;Brunito;1
20/3/2025;Naranja;Cofla;1
20/3/2025;Naranja;Pola;1
20/3/2025;Naranja;Chulo;0
20/3/2025;Naranja;Marc;4
20/3/2025;Naranja;Pata;1
20/3/2025;Naranja;Lio;1
20/3/2025;Celeste;Morru;0
20/3/2025;Celeste;Brunito;0
20/3/2025;Celeste;Lucas;5
20/3/2025;Celeste;Chino;2
20/3/2025;Celeste;Colo;1
20/3/2025;Celeste;Bigote;2
20/3/2025;Celeste;En contra;1
27/3/2025;Celeste;Sherman;1
27/3/2025;Celeste;Lucas;0
27/3/2025;Celeste;Sebas RM;2
27/3/2025;Celeste;Juan (Brunito);0
27/3/2025;Celeste;Chulo;0
27/3/2025;Celeste;Bigote;2
27/3/2025;Naranja;Cofla;1
27/3/2025;Naranja;Pola;2
27/3/2025;Naranja;Brunito;5
27/3/2025;Naranja;Emi (Brunito);1
27/3/2025;Naranja;Marc;2
27/3/2025;Naranja;Morru;0
3/4/2025;Celeste;Cofla;1
3/4/2025;Celeste;Pola;2
3/4/2025;Celeste;Lio;1
3/4/2025;Celeste;Brunito;1
3/4/2025;Celeste;Chulo;1
3/4/2025;Celeste;Morru;0
3/4/2025;Naranja;Gabo;1
3/4/2025;Naranja;Nacho;2
3/4/2025;Naranja;Maranga;0
3/4/2025;Naranja;Lucas;1
3/4/2025;Naranja;Pata;1
3/4/2025;Naranja;Bigote;0
10/4/2025;Celeste;Chino;0
10/4/2025;Celeste;Maranga;0
10/4/2025;Celeste;Sherman;1
10/4/2025;Celeste;Sebas RM;0
10/4/2025;Celeste;Pola;3
10/4/2025;Celeste;Brunito;2
10/4/2025;Naranja;Chulo;0
10/4/2025;Naranja;Bradley;1
10/4/2025;Naranja;Gabo;1
10/4/2025;Naranja;Bigote;1
10/4/2025;Naranja;Lucas;1
10/4/2025;Naranja;Sebas;0
24/4/2025;Naranja;Bigote;3
24/4/2025;Naranja;Brunito;0
24/4/2025;Naranja;Chino;0
24/4/2025;Naranja;Cofla;0
24/4/2025;Naranja;Marc;1
24/4/2025;Naranja;Pola;0
24/4/2025;Celeste;Chulo;2
24/4/2025;Celeste;Lucas;2
24/4/2025;Celeste;Maranga;0
24/4/2025;Celeste;Morru;0
24/4/2025;Celeste;Pata;0
24/4/2025;Celeste;Sherman;2
8/5/2025;Celeste;Sherman;2
8/5/2025;Celeste;Brunito;2
8/5/2025;Celeste;Pata;0
8/5/2025;Celeste;Morru;0
8/5/2025;Celeste;Chulo;1
8/5/2025;Celeste;Bigote;0
8/5/2025;Naranja;Lucas;1
8/5/2025;Naranja;Lio;0
8/5/2025;Naranja;Bradley;0
8/5/2025;Naranja;Cofla;1
8/5/2025;Naranja;Pola;3
8/5/2025;Naranja;Chino;1
22/5/2025;Celeste;Juan Brancos;2
22/5/2025;Celeste;Sherman;0
22/5/2025;Celeste;Morru;0
22/5/2025;Celeste;Maranga;0
22/5/2025;Celeste;Chulo;2
22/5/2025;Celeste;Charly;1
22/5/2025;Celeste;En contra;1
22/5/2025;Naranja;Bigote;0
22/5/2025;Naranja;Lucas;2
22/5/2025;Naranja;Maxi;1
22/5/2025;Naranja;Pata;1
22/5/2025;Naranja;Lio;0
22/5/2025;Naranja;Diego Leon;0
29/5/2025;Naranja;Mati (primo Bigo);0
29/5/2025;Naranja;Lucas;1
29/5/2025;Naranja;Maxi;0
29/5/2025;Naranja;Chino;1
29/5/2025;Naranja;Diego Leon;2
29/5/2025;Naranja;Bigote;1
29/5/2025;Celeste;Mudito;3
29/5/2025;Celeste;Clota;0
29/5/2025;Celeste;Sherman;2
29/5/2025;Celeste;Brunito;2
29/5/2025;Celeste;Morru;1
29/5/2025;Celeste;Juan Brancos;0
5/6/2025;Celeste;Maranga;1
5/6/2025;Celeste;Brunito;0
5/6/2025;Celeste;Bradley;2
5/6/2025;Celeste;Chino;2
5/6/2025;Celeste;Javi;0
5/6/2025;Celeste;Sherman;1
5/6/2025;Naranja;Bigote;0
5/6/2025;Naranja;Lucas;1
5/6/2025;Naranja;Chulo;0
5/6/2025;Naranja;Morru;1
5/6/2025;Naranja;Tano;0
5/6/2025;Naranja;Hakimi;2
12/6/2025;Celeste;Brunito;1
12/6/2025;Celeste;Maranga;0
12/6/2025;Celeste;Sherman;0
12/6/2025;Celeste;Lio;3
12/6/2025;Celeste;Marc;2
12/6/2025;Celeste;Lucas;5
12/6/2025;Naranja;Pola;1
12/6/2025;Naranja;Cofla;0
12/6/2025;Naranja;Pata;2
12/6/2025;Naranja;Hakimi;2
12/6/2025;Naranja;Bigote;1
12/6/2025;Naranja;Gabo;1
19/6/2025;Celeste;Sherman;0
19/6/2025;Celeste;Colo;1
19/6/2025;Celeste;Lio;0
19/6/2025;Celeste;Brunito;0
19/6/2025;Celeste;Gabo;5
19/6/2025;Celeste;Bigote;1
19/6/2025;Naranja;Maranga;0
19/6/2025;Naranja;Morru;1
19/6/2025;Naranja;Chulo;4
19/6/2025;Naranja;Cofla;1
19/6/2025;Naranja;Lucas;5
19/6/2025;Naranja;Lalo;1
26/6/2025;Celeste;Morru;0
26/6/2025;Celeste;Brunito;1
26/6/2025;Celeste;Lucas;3
26/6/2025;Celeste;Chulo;0
26/6/2025;Celeste;Chino;2
26/6/2025;Celeste;Colo;3
26/6/2025;Naranja;Maranga;0
26/6/2025;Naranja;Gabo;0
26/6/2025;Naranja;Hakimi;1
26/6/2025;Naranja;Maxi;0
26/6/2025;Naranja;Pata;0
26/6/2025;Naranja;Bigote;1
3/7/2025;Celeste;Pola;0
3/7/2025;Celeste;Cofla;0
3/7/2025;Celeste;Maranga;1
3/7/2025;Celeste;Chino;1
3/7/2025;Celeste;Lucas;4
3/7/2025;Celeste;Bigote;1
3/7/2025;Naranja;Brunito;3
3/7/2025;Naranja;Pata;0
3/7/2025;Naranja;Colo;1
3/7/2025;Naranja;Chulo;1
3/7/2025;Naranja;Sherman;1
3/7/2025;Naranja;Lio;2
3/7/2025;Naranja;En contra;1
10/7/2025;Celeste;Maranga;0
10/7/2025;Celeste;Pola;3
10/7/2025;Celeste;Sherman;0
10/7/2025;Celeste;Lucas;2
10/7/2025;Celeste;Lio;0
10/7/2025;Celeste;Chino;0
10/7/2025;Naranja;Colo;4
10/7/2025;Naranja;Morru;1
10/7/2025;Naranja;Charly;0
10/7/2025;Naranja;Facu;0
10/7/2025;Naranja;Gabo;2
10/7/2025;Naranja;Marc;2
17/7/2025;Celeste;Pola;2
17/7/2025;Celeste;Cofla;0
17/7/2025;Celeste;Lio;1
17/7/2025;Celeste;Chulo;1
17/7/2025;Celeste;Morru;0
17/7/2025;Celeste;Facu;0
17/7/2025;Naranja;Mudito;0
17/7/2025;Naranja;Sherman;3
17/7/2025;Naranja;Colo;2
17/7/2025;Naranja;Chino;0
17/7/2025;Naranja;Bigote;2
17/7/2025;Naranja;Charly;0
24/7/2025;Naranja;Pola;2
24/7/2025;Naranja;Cofla;0
24/7/2025;Naranja;Morru;0
24/7/2025;Naranja;Bigote;3
24/7/2025;Naranja;Pata;0
24/7/2025;Naranja;Charly;1
24/7/2025;Celeste;Uru;4
24/7/2025;Celeste;Lio;0
24/7/2025;Celeste;Sherman;1
24/7/2025;Celeste;Lucas;6
24/7/2025;Celeste;Juan Brancos;1
24/7/2025;Celeste;Chulo;0
31/7/2025;Celeste;Colo;3
31/7/2025;Celeste;Chulo;3
31/7/2025;Celeste;Brunito;3
31/7/2025;Celeste;Morru;0
31/7/2025;Celeste;Canelo;2
31/7/2025;Celeste;Lucas;5
31/7/2025;Naranja;Clota;0
31/7/2025;Naranja;Mudito;1
31/7/2025;Naranja;Sherman;3
31/7/2025;Naranja;Pata;0
31/7/2025;Naranja;Lalo;2
31/7/2025;Naranja;Bigote;1
7/8/2025;Celeste;Colo;0
7/8/2025;Celeste;Brunito;0
7/8/2025;Celeste;Chulo;1
7/8/2025;Celeste;Lalo;2
7/8/2025;Celeste;Pata;0
7/8/2025;Celeste;Marc;3
7/8/2025;Naranja;Maranga;1
7/8/2025;Naranja;Morru;1
7/8/2025;Naranja;Chino;1
7/8/2025;Naranja;Lucas;1
7/8/2025;Naranja;Facu;1
7/8/2025;Naranja;Sherman;1
14/8/2025;Celeste;Colo;0
14/8/2025;Celeste;Chulo;0
14/8/2025;Celeste;Pata;0
14/8/2025;Celeste;Chino;0
14/8/2025;Celeste;Lucas;0
14/8/2025;Naranja;Cofla;0
14/8/2025;Naranja;Maranga;0
14/8/2025;Naranja;Morru;0
14/8/2025;Naranja;Pola;1
14/8/2025;Naranja;Fer (Pola);1
4/9/2025;Celeste;Maranga;0
4/9/2025;Celeste;Colo;2
4/9/2025;Celeste;Brunito;1
4/9/2025;Celeste;Pata;1
4/9/2025;Celeste;Lalo;2
4/9/2025;Celeste;Lucas;3
4/9/2025;Naranja;Bigote;0
4/9/2025;Naranja;Cofla;0
4/9/2025;Naranja;Pola;2
4/9/2025;Naranja;Facu;1
4/9/2025;Naranja;Fer (Pola);3
4/9/2025;Naranja;Papa Fer (Pola);0
18/9/2025;Celeste;Cofla;0
18/9/2025;Celeste;Pola;3
18/9/2025;Celeste;Chino;0
18/9/2025;Celeste;Morru;1
18/9/2025;Celeste;Charly;0
18/9/2025;Celeste;Bigote;0
18/9/2025;Naranja;Lio;1
18/9/2025;Naranja;Colo;2
18/9/2025;Naranja;Chulo;0
18/9/2025;Naranja;Lucas;3
18/9/2025;Naranja;Maranga;1
18/9/2025;Naranja;Pata;1
25/9/2025;Celeste;Cofla;0
25/9/2025;Celeste;Pola;2
25/9/2025;Celeste;Fer (Pola);0
25/9/2025;Celeste;Papa Fer (Pola);0
25/9/2025;Celeste;Lucas;4
25/9/2025;Celeste;Pata;0
25/9/2025;Naranja;Colo;4
25/9/2025;Naranja;Chulo;0
25/9/2025;Naranja;Maranga;1
25/9/2025;Naranja;Morru;0
25/9/2025;Naranja;Facu;0
25/9/2025;Naranja;Charly;0
2/10/2025;Celeste;Lio;0
2/10/2025;Celeste;Lucas;3
2/10/2025;Celeste;Colo;2
2/10/2025;Celeste;Dola (Colo);0
2/10/2025;Celeste;Jere (Colo);0
2/10/2025;Celeste;Morru;0
2/10/2025;Naranja;Maranga;0
2/10/2025;Naranja;Cofla;1
2/10/2025;Naranja;Chino;0
2/10/2025;Naranja;Pola;3
2/10/2025;Naranja;Fer (Pola);3
2/10/2025;Naranja;Papa Fer (Pola);0
9/10/2025;Celeste;Pola;2
9/10/2025;Celeste;Cofla;0
9/10/2025;Celeste;Bigote;0
9/10/2025;Celeste;Chino;1
9/10/2025;Celeste;Colo;3
9/10/2025;Celeste;Pata;0
9/10/2025;Naranja;Lucas;5
9/10/2025;Naranja;Maranga;0
9/10/2025;Naranja;Morru;2
9/10/2025;Naranja;Facu;1
9/10/2025;Naranja;Gabo;0
9/10/2025;Naranja;Lio;0
16/10/2025;Celeste;Lucas;5
16/10/2025;Celeste;Chino;0
16/10/2025;Celeste;Chulo;3
16/10/2025;Celeste;Cofla;0
16/10/2025;Celeste;Lio;1
16/10/2025;Celeste;Charly;0
16/10/2025;Naranja;Bigote;2
16/10/2025;Naranja;Colo;1
16/10/2025;Naranja;Pata;2
16/10/2025;Naranja;Maranga;1
16/10/2025;Naranja;Morru;1
16/10/2025;Naranja;Facu;3
16/10/2025;Naranja;En contra;1
30/10/2025;Celeste;Lucas;4
30/10/2025;Celeste;Chino;0
30/10/2025;Celeste;Chulo;1
30/10/2025;Celeste;Mudito;1
30/10/2025;Celeste;Lio;0
30/10/2025;Celeste;Facu;2
30/10/2025;Naranja;Bigote;1
30/10/2025;Naranja;Colo;0
30/10/2025;Naranja;Pata;1
30/10/2025;Naranja;Marc;2
30/10/2025;Naranja;Maranga;2
30/10/2025;Naranja;Morru;3
6/11/2025;Naranja;Lucas;0
6/11/2025;Naranja;Brunito;4
6/11/2025;Naranja;Chulo;1
6/11/2025;Naranja;Lio;0
6/11/2025;Naranja;Maranga;0
6/11/2025;Naranja;Facu;1
6/11/2025;Celeste;Chino;1
6/11/2025;Celeste;Colo;1
6/11/2025;Celeste;Pata;1
6/11/2025;Celeste;Cofla;0
6/11/2025;Celeste;Marc;1
6/11/2025;Celeste;Morru;1
13/11/2025;Naranja;Lucas;2
13/11/2025;Naranja;Chulo;1
13/11/2025;Naranja;Bigote;0
13/11/2025;Naranja;Lio;0
13/11/2025;Naranja;Maranga;1
13/11/2025;Naranja;Lalo;1
13/11/2025;Celeste;Cofla;0
13/11/2025;Celeste;Chino;0
13/11/2025;Celeste;Colo;2
13/11/2025;Celeste;Pata;1
13/11/2025;Celeste;Gabo;1
13/11/2025;Celeste;Facu;2
15/1/2026;Celeste;Bigote;3
15/1/2026;Celeste;Colo;2
15/1/2026;Celeste;Chino;2
15/1/2026;Celeste;Facu;4
15/1/2026;Celeste;Charly;0
15/1/2026;Naranja;Chulo;2
15/1/2026;Naranja;Pata;1
15/1/2026;Naranja;Mudito;3
15/1/2026;Naranja;Maranga;0
15/1/2026;Naranja;Morru;0
22/1/2026;Naranja;Lucas;4
22/1/2026;Naranja;Amigo Pata;1
22/1/2026;Naranja;Lio;0
22/1/2026;Naranja;Charly;1
22/1/2026;Naranja;Ppon;2
22/1/2026;Celeste;Chino;0
22/1/2026;Celeste;Pata;2
22/1/2026;Celeste;Colo;3
22/1/2026;Celeste;Morru;2
22/1/2026;Celeste;Chulo;1
29/1/2026;Celeste;Cofla;1
29/1/2026;Celeste;Pola;4
29/1/2026;Celeste;Chino;0
29/1/2026;Celeste;Lio;0
29/1/2026;Celeste;Ppon;2
29/1/2026;Naranja;Bigote;2
29/1/2026;Naranja;Maranga;2
29/1/2026;Naranja;Morru;0
29/1/2026;Naranja;Colo;1
29/1/2026;Naranja;Lalo;2
5/2/2026;Celeste;Colo;3
5/2/2026;Celeste;Chulo;0
5/2/2026;Celeste;Brunito;5
5/2/2026;Celeste;Maranga;0
5/2/2026;Celeste;Lalo;1
5/2/2026;Naranja;Lucas;2
5/2/2026;Naranja;Cofla;0
5/2/2026;Naranja;Lio;4
5/2/2026;Naranja;Facu;0
5/2/2026;Naranja;Charly;0
12/2/2026;Celeste;Bigote;1
12/2/2026;Celeste;Chino;1
12/2/2026;Celeste;Brunito;2
12/2/2026;Celeste;Chulo;1
12/2/2026;Celeste;Charly;0
12/2/2026;Naranja;Lucas;7
12/2/2026;Naranja;Lio;0
12/2/2026;Naranja;Maranga;0
12/2/2026;Naranja;Facu;2
12/2/2026;Naranja;Chicho;3
19/2/2026;Celeste;Lucas;4
19/2/2026;Celeste;Maranga;1
19/2/2026;Celeste;Morru;0
19/2/2026;Celeste;Charly;1
19/2/2026;Celeste;Lio;1
19/2/2026;Naranja;Pata;0
19/2/2026;Naranja;Chulo;2
19/2/2026;Naranja;Facu;3
19/2/2026;Naranja;Colo;3
19/2/2026;Naranja;Hernan (amigo Pata);0
26/2/2026;Celeste;Chino;0
26/2/2026;Celeste;Colo;1
26/2/2026;Celeste;Pata;0
26/2/2026;Celeste;Morru;0
26/2/2026;Celeste;Facu;2
26/2/2026;Naranja;Bigote;1
26/2/2026;Naranja;Chulo;6
26/2/2026;Naranja;Maranga;2
26/2/2026;Naranja;Lio;4
26/2/2026;Naranja;Charly;2
5/3/2026;Celeste;Lucas;3
5/3/2026;Celeste;Chulo;0
5/3/2026;Celeste;Chino;0
5/3/2026;Celeste;Colo;3
5/3/2026;Celeste;Charly;1
5/3/2026;Naranja;Maxi;1
5/3/2026;Naranja;Morru;3
5/3/2026;Naranja;Maranga;2
5/3/2026;Naranja;Lio;0
5/3/2026;Naranja;Mudito;1
12/3/2026;Celeste;Colo;2
12/3/2026;Celeste;Morru;0
12/3/2026;Celeste;Cofla;1
12/3/2026;Celeste;Tomi;2
12/3/2026;Celeste;Pata;0
12/3/2026;Naranja;Lio;1
12/3/2026;Naranja;Maranga;1
12/3/2026;Naranja;Chulo;1
12/3/2026;Naranja;Facu;1
12/3/2026;Naranja;Bigote;1
12/3/2026;Naranja;En contra;1
19/3/2026;Celeste;Bigote;1
19/3/2026;Celeste;Chulo;2
19/3/2026;Celeste;Lio;0
19/3/2026;Celeste;Colo;2
19/3/2026;Celeste;Charly;1
19/3/2026;Naranja;Pata;0
19/3/2026;Naranja;Maxi;1
19/3/2026;Naranja;Maranga;1
19/3/2026;Naranja;Morru;0
19/3/2026;Naranja;Facu;0
26/3/2026;Celeste;Chino;0
26/3/2026;Celeste;Colo;3
26/3/2026;Celeste;Bigote;0
26/3/2026;Celeste;Facu;1
26/3/2026;Celeste;Morru;0
26/3/2026;Naranja;Charly;0
26/3/2026;Naranja;Maranga;3
26/3/2026;Naranja;Lio;0
26/3/2026;Naranja;Pata;2
26/3/2026;Naranja;Lucas;4
